127.0.0.1 - - [16/May/2021:09:38:44 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [16/May/2021:09:38:45 +0530] "GET /EP-Project/home1.html HTTP/1.1" 200 810
0:0:0:0:0:0:0:1 - - [16/May/2021:09:38:45 +0530] "GET /EP-Project/bootstrap.css HTTP/1.1" 200 198313
0:0:0:0:0:0:0:1 - - [16/May/2021:09:38:45 +0530] "GET /EP-Project/h1style.css HTTP/1.1" 200 2838
0:0:0:0:0:0:0:1 - - [16/May/2021:09:38:45 +0530] "GET /EP-Project/2.jpg HTTP/1.1" 200 421329
0:0:0:0:0:0:0:1 - - [16/May/2021:09:38:45 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [16/May/2021:09:38:50 +0530] "GET /EP-Project/userlogin.html HTTP/1.1" 200 2747
0:0:0:0:0:0:0:1 - - [16/May/2021:09:38:50 +0530] "GET /EP-Project/styles.css HTTP/1.1" 200 2192
0:0:0:0:0:0:0:1 - - [16/May/2021:09:38:50 +0530] "GET /EP-Project/3.jpg HTTP/1.1" 200 130004
0:0:0:0:0:0:0:1 - - [16/May/2021:09:39:00 +0530] "POST /EP-Project/checkuserlogin.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/May/2021:09:39:00 +0530] "GET /EP-Project/home2.html HTTP/1.1" 200 1060
0:0:0:0:0:0:0:1 - - [16/May/2021:09:39:00 +0530] "GET /EP-Project/style.css HTTP/1.1" 200 1485
0:0:0:0:0:0:0:1 - - [16/May/2021:09:39:03 +0530] "GET /EP-Project/searchflight.html HTTP/1.1" 200 4042
0:0:0:0:0:0:0:1 - - [16/May/2021:09:39:03 +0530] "GET /EP-Project/css/bootstrap.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [16/May/2021:09:39:03 +0530] "GET /EP-Project/searchflights.css HTTP/1.1" 200 2157
0:0:0:0:0:0:0:1 - - [16/May/2021:09:39:03 +0530] "GET /EP-Project/style3.css HTTP/1.1" 200 1494
0:0:0:0:0:0:0:1 - - [16/May/2021:09:39:03 +0530] "GET /EP-Project/css/bootstrap.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [16/May/2021:09:39:04 +0530] "GET /EP-Project/css/bootstrap.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [16/May/2021:09:39:04 +0530] "GET /EP-Project/css/bootstrap.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [16/May/2021:09:39:15 +0530] "POST /EP-Project/searchflights.jsp HTTP/1.1" 200 9944
0:0:0:0:0:0:0:1 - - [16/May/2021:09:39:15 +0530] "GET /EP-Project/css/bootstrap.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [16/May/2021:09:39:15 +0530] "GET /EP-Project/afstyle.css HTTP/1.1" 200 3112
0:0:0:0:0:0:0:1 - - [16/May/2021:09:39:26 +0530] "GET /EP-Project/flightbooking.jsp?id=31645&name=Vistara&from=Vijayawada HTTP/1.1" 200 3852
0:0:0:0:0:0:0:1 - - [16/May/2021:09:39:26 +0530] "GET /EP-Project/css/bootstrap.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [16/May/2021:09:39:26 +0530] "GET /EP-Project/background3.jpg HTTP/1.1" 200 22267
0:0:0:0:0:0:0:1 - - [16/May/2021:09:39:41 +0530] "POST /EP-Project/booking.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/May/2021:09:39:41 +0530] "GET /EP-Project/booking1.jsp HTTP/1.1" 200 5978
0:0:0:0:0:0:0:1 - - [16/May/2021:09:42:02 +0530] "GET /EP-Project/bookingsuccessfulmessage.jsp HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [16/May/2021:09:42:02 +0530] "GET /EP-Project/of2.jpg HTTP/1.1" 200 116635
